city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"MACROHON, (SOUTHERN LEYTE)", 4 , 11 , - , 3 , 4 , 5 , 7 , 9 , 4 , 6 , 5 , 58 
"MALITBOG, (SOUTHERN LEYTE)", 2 , 1 , - , 3 , 2 , 2 , 3 , 1 , 5 , 2 , 6 , 27 
"PADRE BURGOS, (SOUTHERN LEYTE)", 1 , 1 , 1 , 2 , 7 , 6 , 8 , 4 , 1 , 3 , 5 , 39 
"PINTUYAN, (SOUTHERN LEYTE)", 1 , 1 , - , 1 , 1 , 1 , 2 , 1 , 3 , - , 3 , 14 
"SAINT BERNARD, (SOUTHERN LEYTE)", - , 3 , - , 2 , 4 , 3 , 4 , 2 , 3 , - , 4 , 25 
"SAN FRANCISCO, (SOUTHERN LEYTE)", - , - , - , 1 , 2 , - , 1 , 1 , 1 , 2 , 2 , 10 
"SAN JUAN (CABALIAN), (SOUTHERN LEYTE)", 1 , - , 1 , 4 , 3 , 3 , 3 , 4 , 5 , 1 , 3 , 28 
"SAN RICARDO, (SOUTHERN LEYTE)", - , 1 , - , - , 2 , 2 , 1 , 1 , - , 2 , 1 , 10 
"SILAGO, (SOUTHERN LEYTE)", 1 , 1 , - , 2 , 1 , 2 , 1 , 2 , - , 2 , 3 , 15 
"SOGOD, (SOUTHERN LEYTE)", 12 , 14 , 1 , 7 , 6 , 5 , 7 , 10 , 9 , 7 , 3 , 81 
"TOMAS OPPUS, (SOUTHERN LEYTE)", 3 , 4 , 2 , 5 , - , 1 , 1 , 4 , 2 , 2 , 6 , 30 
"LIMASAWA, (SOUTHERN LEYTE)", - , 1 , - , - , - , 1 , - , - , - , 1 , 1 , 4 
"ALMERIA, (BILIRAN)", 3 , 3 , 2 , 3 , 3 , 3 , 5 , 1 , 1 , 5 , 2 , 31 
"BILIRAN, (BILIRAN)", 5 , 6 , - , 7 , 7 , 12 , 10 , 5 , 10 , 15 , 10 , 87 
"CABUCGAYAN, (BILIRAN)", 2 , 1 , 3 , 6 , 5 , 5 , 9 , 9 , 8 , 3 , 3 , 54 
"CAIBIRAN, (BILIRAN)", 3 , 4 , 1 , 4 , 8 , 7 , 8 , 6 , 15 , 7 , 3 , 66 
"CULABA, (BILIRAN)", 1 , 3 , - , 9 , 2 , 4 , 1 , 9 , 5 , 9 , 5 , 48 
"KAWAYAN, (BILIRAN)", 2 , 6 , 2 , 10 , 7 , 1 , 4 , 4 , 7 , 6 , 8 , 57 
"MARIPIPI, (BILIRAN)", - , - , - , - , 1 , - , - , - , - , - , - , 1 
"NAVAL (CAPITAL), (BILIRAN)", 10 , 11 , 1 , 10 , 16 , 7 , 6 , 15 , 17 , 14 , 19 , 126 
"DAPITAN CITY, (ZAMBOANGA DEL NORTE)", 4 , 7 , 4 , 13 , 12 , 13 , 22 , 15 , 21 , 12 , 19 , 142 
"DIPOLOG CITY (CAPITAL), (ZAMBOANGA DEL NORTE)", 55 , 55 , 11 , 43 , 76 , 54 , 62 , 65 , 73 , 51 , 57 , 602 
"KATIPUNAN, (ZAMBOANGA DEL NORTE)", 1 , 2 , - , 3 , 6 , 4 , 4 , 4 , 5 , 4 , 5 , 38 
"LA LIBERTAD, (ZAMBOANGA DEL NORTE)", - , 1 , - , 2 , - , 1 , - , - , 1 , - , - , 5 
"LABASON, (ZAMBOANGA DEL NORTE)", 3 , 4 , 1 , 2 , 6 , 7 , - , 4 , 3 , 7 , 6 , 43 
"LILOY, (ZAMBOANGA DEL NORTE)", 2 , 2 , - , 4 , 4 , 6 , 8 , 4 , 5 , 7 , 3 , 45 
"MANUKAN, (ZAMBOANGA DEL NORTE)", 3 , 3 , - , 6 , 3 , 3 , 5 , 5 , 2 , 3 , 11 , 44 
"MUTIA, (ZAMBOANGA DEL NORTE)", 1 , - , 1 , - , 1 , 2 , 1 , 2 , 3 , 1 , 3 , 15 
"PIÑAN (NEW PIÑAN), (ZAMBOANGA DEL NORTE)", - , 2 , - , 1 , 1 , 2 , 4 , 1 , 1 , - , 1 , 13 
"POLANCO, (ZAMBOANGA DEL NORTE)", 7 , 5 , 1 , 3 , 9 , 5 , 6 , 10 , 8 , 10 , 7 , 71 
"PRES. MANUEL A. ROXAS, (ZAMBOANGA DEL NORTE)", 4 , 3 , - , 2 , 2 , 4 , 3 , 3 , 3 , 4 , 5 , 33 
"RIZAL, (ZAMBOANGA DEL NORTE)", - , 4 , 1 , 1 , 2 , - , 3 , 1 , 1 , - , 3 , 16 
