city_or_municipality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,total
"MAGPET, (NORTH COTABATO)", - , - , - , 2 , 3 , 1 , 1 , 2 , 5 , 2 , 3 , 19 
"MAKILALA, (NORTH COTABATO)", 1 , 6 , - , 6 , 4 , 13 , 4 , 3 , 7 , 6 , 5 , 55 
"MATALAM, (NORTH COTABATO)", - , 2 , - , 1 , 1 , 1 , 1 , 4 , - , 2 , 4 , 16 
"MIDSAYAP,  (NORTH COTABATO)", 10 , 8 , 2 , 4 , 7 , 8 , 9 , 13 , 7 , 10 , 8 , 86 
"M`LANG, (NORTH COTABATO)", 5 , 6 , - , 8 , 5 , 3 , 4 , 3 , 5 , 7 , 7 , 53 
"PIGKAWAYAN, (NORTH COTABATO)", 2 , 2 , - , 2 , 3 , - , 3 , 3 , 3 , 3 , 2 , 23 
"PIKIT, (NORTH COTABATO)", 1 , 3 , - , 1 , 2 , 3 , - , 1 , 2 , - , - , 13 
"PRESIDENT ROXAS, (NORTH COTABATO)", 2 , 3 , - , 4 , 3 , 1 , - , 3 , 3 , 1 , 3 , 23 
"TULUNAN, (NORTH COTABATO)", 1 , 3 , - , 1 , - , - , 1 , - , 1 , - , 3 , 10 
"ANTIPAS, (NORTH COTABATO)", 1 , 1 , - , - , 1 , 1 , 1 , - , - , 1 , 1 , 7 
"BANISILAN, (NORTH COTABATO)", 1 , 1 , - , - , 1 , 1 , - , 1 , - , 1 , 2 , 8 
"ALEOSAN, (NORTH COTABATO)", 1 , - , - , - , - , - , - , 1 , - , 2 , -   , 4 
"ARAKAN, (NORTH COTABATO)", - , - , - , - , - , - , 2 , - , - , 1 , 1 , 4 
"BAGUMBAYAN, (SULTAN KUDARAT)", 1 , 1 , - , - , - , 2 , 2 , - , 2 , 2 , 3 , 13 
"COLUMBIO, (SULTAN KUDARAT)", - , - , - , - , - , - , 1 , - , - , 1 , -   , 2 
"ESPERANZA, (SULTAN KUDARAT)", 2 , - , 1 , 4 , 1 , 1 , 4 , 5 , 2 , 2 , 1 , 23 
"ISULAN (CAPITAL), (SULTAN KUDARAT)", 1 , 2 , 1 , 2 , 10 , 3 , 4 , 5 , 5 , 13 , 5 , 51 
"KALAMANSIG, (SULTAN KUDARAT)", - , - , - , - , - , - , - , - , - , 1 , -   , 1 
"LEBAK, (SULTAN KUDARAT)", - , 1 , - , - , 1 , - , 3 , 1 , - , 1 , 1 , 8 
"LUTAYAN, (SULTAN KUDARAT)", 1 , 1 , - , - , - , - , - , - , 1 , 1 , 2 , 6 
"LAMBAYONG (MARIANO MARCOS), (SULTAN KUDARAT)", 1 , - , - , 1 , - , 1 , 1 , 1 , 1 , 5 , 4 , 15 
"PALIMBANG, (SULTAN KUDARAT)", - , - , - , - , - , - , 1 , - , - , - , - , 1 
"PRESIDENT QUIRINO, (SULTAN KUDARAT)", - , 1 , - , - , 3 , - , - , 2 , - , - , 2 , 8 
"TACURONG, (SULTAN KUDARAT)", 5 , 3 , - , 6 , 11 , 9 , 9 , 5 , 17 , 10 , 15 , 90 
"SEN. NINOY AQUINO, (SULTAN KUDARAT)", 1 , - , - , 1 , - , - , - , - , 2 , - , - , 4 
COTABATO CITY, 11 , 14 , - , 11 , 5 , 12 , 7 , 10 , 7 , 13 , 17 , 107 
"BUENAVISTA, (AGUSAN DEL NORTE)", 13 , 14 , 1 , 10 , 8 , 6 , 16 , 13 , 9 , 14 , 15 , 119 
"BUTUAN CITY (CAPITAL), (AGUSAN DEL NORTE)", 101 , 111 , 26 , 93 , 119 , 92 , 92 , 104 , 118 , 111 , 104 ," 1,071 "
"CABADBARAN, (AGUSAN DEL NORTE)", 17 , 23 , 2 , 15 , 26 , 20 , 15 , 13 , 20 , 12 , 16 , 179 
"CARMEN, (AGUSAN DEL NORTE)", 6 , 1 , - , 1 , - , 1 , 1 , - , 4 , 4 , 3 , 21 
"JABONGA, (AGUSAN DEL NORTE)", 3 , 1 , 1 , 1 , - , 1 , 2 , 1 , 2 , - , 1 , 13 
"KITCHARAO, (AGUSAN DEL NORTE)", 3 , 1 , - , 1 , 4 , 3 , 4 , 2 , 2 , 3 , 2 , 25 
"LAS NIEVES, (AGUSAN DEL NORTE)", - , 4 , - , 1 , 1 , 1 , 3 , 3 , 2 , 2 , 1 , 18 
"MAGALLANES, (AGUSAN DEL NORTE)", 6 , 8 , - , 4 , 8 , 6 , 2 , 4 , 4 , 3 , 7 , 52 
"NASIPIT, (AGUSAN DEL NORTE)", 11 , 11 , 1 , 8 , 7 , 8 , 5 , 10 , 8 , 13 , 13 , 95 
"SANTIAGO, (AGUSAN DEL NORTE)", 2 , 2 , - , - , 3 , - , 2 , 2 , 1 , 3 , 2 , 17 
"TUBAY, (AGUSAN DEL NORTE)", 1 , 3 , 1 , 2 , 1 , 1 , 1 , 3 , 6 , 4 , 3 , 26 
"REMEDIOS T. ROMUALDEZ, (AGUSAN DEL NORTE)", 4 , - , - , 3 , 2 , 1 , 2 , 3 , 2 , - , 3 , 20 
"BAYUGAN, (AGUSAN DEL SUR)", 17 , 18 , 2 , 19 , 24 , 14 , 25 , 25 , 24 , 20 , 30 , 218 
"BUNAWAN, (AGUSAN DEL SUR)", - , 1 , - , 1 , 2 , 1 , 1 , 2 , 1 , 1 , 4 , 14 
"ESPERANZA, (AGUSAN DEL SUR)", - , 1 , - , 1 , 1 , 1 , 3 , 1 , 2 , 4 , 1 , 15 
"LA PAZ, (AGUSAN DEL SUR)", 1 , - , - , - , - , - , - , - , 2 , 2 , 1 , 6 
"LORETO, (AGUSAN DEL SUR)", - , - , - , - , - , 1 , - , - , 2 , 1 , 1 , 5 
"PROSPERIDAD (CAPITAL), (AGUSAN DEL SUR)", 4 , 4 , 1 , 8 , 5 , 7 , 8 , 7 , 7 , 9 , 10 , 70 
"ROSARIO, (AGUSAN DEL SUR)", - , - , - , 1 , 2 , 3 , 1 , 1 , 3 , - , 2 , 13 
"SAN FRANCISCO, (AGUSAN DEL SUR)", 4 , 6 , 1 , 7 , 11 , 4 , 13 , 6 , 17 , 7 , 5 , 81 
"SAN LUIS, (AGUSAN DEL SUR)", 1 , - , 1 , - , 1 , - , 1 , 1 , 1 , - , 1 , 7 
"SANTA JOSEFA, (AGUSAN DEL SUR)", 2 , 2 , - , - , 2 , 1 , - , 1 , 2 , 1 , 1 , 12 
"TALACOGON, (AGUSAN DEL SUR)", - , 2 , - , - , 2 , 2 , - , 1 , 1 , - , 2 , 10 
"TRENTO, (AGUSAN DEL SUR)", 2 , 2 , - , 5 , 6 , 3 , 4 , 3 , 1 , 6 , 6 , 38 
"VERUELA, (AGUSAN DEL SUR)", - , - , - , 2 , 2 , 1 , - , 1 , - , - , 1 , 7 
"SIBAGAT, (AGUSAN DEL SUR)", 2 , 5 , 1 , 2 , 5 , 5 , 5 , 4 , 2 , 7 , 3 , 41 
"ALEGRIA, (SURIGAO DEL NORTE)", 2 , 3 , - , 1 , 1 , 4 , 3 , 4 , 7 , 6 , 3 , 34 
"BACUAG, (SURIGAO DEL NORTE)", 1 , 1 , - , 2 , 1 , - , 1 , 1 , - , - , - , 7 
"BASILISA (RIZAL), (SURIGAO DEL NORTE)", 2 , 1 , - , - , - , - , - , 1 , - , - , 1 , 5 
"BURGOS, (SURIGAO DEL NORTE)", - , - , - , 1 , 1 , 1 , - , - , - , - , 1 , 4 
"CAGDIANAO, (SURIGAO DEL NORTE)", - , - , - , 1 , - , 3 , 1 , 1 , - , 1 , 2 , 9 
"CLAVER, (SURIGAO DEL NORTE)", - , - , - , - , - , 3 , 1 , 2 , 1 , 2 , 3 , 12 
"DAPA, (SURIGAO DEL NORTE)", 4 , 1 , - , 1 , 4 , 2 , 3 , 4 , 3 , 1 , 4 , 27 
"DEL CARMEN, (SURIGAO DEL NORTE)", 2 , - , - , 1 , 2 , 1 , 1 , - , - , 1 , 2 , 10 
"DINAGAT, (SURIGAO DEL NORTE)", - , - , - , 3 , 6 , 3 , 8 , 4 , 8 , 12 , 9 , 53 
"GENERAL LUNA, (SURIGAO DEL NORTE)", 2 , 2 , - , 1 , 1 , 7 , 2 , 1 , 8 , 3 , 4 , 31 
"GIGAQUIT, (SURIGAO DEL NORTE)", 6 , - , 1 , 1 , 1 , - , 2 , 2 , 2 , - , - , 15 
"LIBJO (ALBOR), (SURIGAO DEL NORTE)", 1 , 3 , - , 1 , 3 , 4 , 2 , 1 , 2 , 2 , -   , 19 
"LORETO, (SURIGAO DEL NORTE)", - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 4 
"MAINIT, (SURIGAO DEL NORTE)", 4 , 2 , - , 1 , 2 , 4 , 7 , 2 , 1 , 3 , 2 , 28 
"MALIMONO, (SURIGAO DEL NORTE)", 2 , 1 , - , - , - , 2 , 4 , 4 , 2 , 2 , 1 , 18 
"PILAR, (SURIGAO DEL NORTE)", - , 1 , - , - , 1 , - , 3 , - , - , 1 , 2 , 8 
"PLACER, (SURIGAO DEL NORTE)", 1 , 5 , 1 , 2 , 5 , 3 , 3 , 2 , 3 , 1 , 2 , 28 
"SAN BENITO, (SURIGAO DEL NORTE)", - , 1 , - , - , 1 , 1 , - , - , 1 , 1 , -   , 5 
"SAN FRANCISCO (ANAO-AON), (SURIGAO DEL NORTE)", 2 , 5 , - , 3 , 3 , 1 , 3 , 1 , 5 , 1 , 1 , 25 
"SAN ISIDRO, (SURIGAO DEL NORTE)", 1 , - , - , - , - , - , - , 1 , 2 , 2 , 2 , 8 
"SANTA MONICA (SAPAO), (SURIGAO DEL NORTE)", - , - , - , 1 , - , - , - , 1 , 1 , 1 , -   , 4 
"SISON, (SURIGAO DEL NORTE)", - , 1 , - , 1 , - , - , 2 , 5 , 1 , 2 , 2 , 14 
"SOCORRO, (SURIGAO DEL NORTE)", - , - , - , 1 , - , 2 , 2 , - , 5 , 1 , -   , 11 
"SURIGAO CITY (CAPITAL), (SURIGAO DEL NORTE)", 49 , 41 , 8 , 32 , 47 , 52 , 53 , 52 , 45 , 44 , 37 , 460 
"TAGANA-AN, (SURIGAO DEL NORTE)", - , 1 , - , 2 , 1 , 1 , - , - , 2 , - , 3 , 10 
"TUBAJON, (SURIGAO DEL NORTE)", - , - , - , - , - , - , - , - , - , - , - , -   
"TUBOD, (SURIGAO DEL NORTE)", - , 2 , - , - , 4 , 3 , - , 3 , - , - , - , 12 
"SAN JOSE, (SURIGAO DEL NORTE)", 2 , 3 , - , 1 , 1 , 1 , 3 , - , 1 , - , 2 , 14 
"BAROBO, (SURIGAO DEL SUR)", 3 , 2 , - , 8 , 5 , 7 , 9 , 5 , 3 , 9 , 6 , 57 
"BAYABAS, (SURIGAO DEL SUR)", - , - , 1 , - , - , - , - , 1 , 2 , - , - , 4 
"BISLIG, (SURIGAO DEL SUR)", 31 , 32 , 8 , 42 , 46 , 30 , 32 , 37 , 36 , 31 , 34 , 359 
"CAGWAIT, (SURIGAO DEL SUR)", 3 , 3 , 2 , 2 , - , 2 , 1 , 5 , 3 , 1 , 3 , 25 
"CANTILAN, (SURIGAO DEL SUR)", - , 4 , - , 1 , 1 , 3 , 3 , 5 , 4 , 4 , 4 , 29 
"CARMEN, (SURIGAO DEL SUR)", 1 , 2 , - , - , 1 , 3 , - , - , - , 1 , 2 , 10 
"CARRASCAL, (SURIGAO DEL SUR)", 1 , - , - , - , - , 2 , 1 , 2 , 1 , 1 , -   , 8 
"CORTES, (SURIGAO DEL SUR)", 1 , 1 , - , 1 , 1 , 1 , 1 , 1 , 4 , 2 , 1 , 14 
"HINATUAN, (SURIGAO DEL SUR)", 4 , 3 , - , 4 , 2 , 5 , 4 , 8 , 8 , 7 , 6 , 51 
"LANUZA, (SURIGAO DEL SUR)", - , 1 , - , 2 , 2 , 1 , 1 , - , - , 1 , -   , 8 
"LIANGA, (SURIGAO DEL SUR)", 2 , 1 , - , 7 , 5 , 6 , 2 , 2 , 3 , 1 , 5 , 34 
"LINGIG, (SURIGAO DEL SUR)", - , 2 , - , 1 , 3 , 3 , 1 , 2 , 3 , 7 , 1 , 23 
"MADRID, (SURIGAO DEL SUR)", - , 1 , - , 2 , - , - , - , 1 , 2 , 2 , 2 , 10 
"MARIHATAG, (SURIGAO DEL SUR)", 1 , - , - , - , - , - , 2 , 1 , 1 , 2 , -   , 7 
"SAN AGUSTIN, (SURIGAO DEL SUR)", - , 1 , - , 2 , 1 , 5 , 2 , 4 , 4 , 4 , -   , 23 
"SAN MIGUEL, (SURIGAO DEL SUR)", 1 , 2 , - , 2 , 2 , 2 , 2 , - , - , 1 , 4 , 16 
"TAGBINA, (SURIGAO DEL SUR)", - , 1 , - , 3 , 1 , 3 , 2 , 2 , - , 1 , 5 , 18 
"TAGO, (SURIGAO DEL SUR)", - , 2 , - , 1 , 3 , 2 , 3 , 1 , 3 , 6 , 2 , 23 
"TANDAG (CAPITAL), (SURIGAO DEL SUR)", 6 , 11 , 3 , 14 , 15 , 5 , 7 , 7 , 8 , 12 , 8 , 96 
"ISABELA (CAPITAL), (BASILAN)", 3 , - , - , - , - , - , - , - , - , - , 2 , 5 
"LAMITAN, (BASILAN)", - , 1 , - , - , - , 3 , - , 1 , 1 , 1 , -   , 7 
"MALUSO, (BASILAN)", - , - , - , - , - , - , 1 , - , - , - , - , 1 
"SUMISIP, (BASILAN)", - , - , - , - , - , - , 1 , - , - , - , - , 1 
"TIPO-TIPO, (BASILAN)", - , - , - , - , - , - , - , - , - , 1 , -   , 1 
"BALABAGAN, (LANAO DEL SUR)", - , 1 , - , - , - , - , - , - , - , - , - , 1 
"BUMBARAN, (LANAO DEL SUR)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"MALABANG, (LANAO DEL SUR)", - , - , - , - , - , - , - , - , - , - , - , -   
MARAWI CITY, - , 1 , - , - , - , - , - , - , - , - , 1 , 2 
"TAMPARAN, (LANAO DEL SUR)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"WAO, (LANAO DEL SUR)", 1 , - , - , - , 1 , - , - , 2 , - , 3 , 5 , 12 
"AMPATUAN, (MAGUINDANAO)", - , 1 , - , - , - , - , - , - , - , - , - , 1 
"DATU PAGLAS, (MAGUINDANAO)", - , - , - , 1 , - , - , - , - , - , - , - , 1 
"DATU PIANG, (MAGUINDANAO)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"DATU ODIN SINSUAT (DINAIG), (MAGUINDANAO)", 2 , - , - , - , 1 , 1 , 1 , 3 , 2 , - , 1 , 11 
"PARANG, (MAGUINDANAO)", 1 , - , - , - , 1 , 3 , 2 , - , 2 , 5 , 2 , 16 
"PAGALUNGAN, (MAGUINDANAO)", - , - , - , - , - , - , - , - , 1 , 1 , -   , 2 
"SULTAN KUDARAT (NULING), (MAGUINDANAO)", - , - , - , 1 , - , - , - , - , - , 1 , 2 , 4 
"SULTAN SA BARONGIS (LAMBAYONG), (MAGUINDANAO)", - , - , - , - , - , - , - , - , - , - , - , -   
"SOUTH UPI, (MAGUINDANAO)", - , - , - , 1 , - , - , - , - , - , - , - , 1 
"TALAYAN, (MAGUINDANAO)", - , - , - , - , - , - , - , - , 1 , 1 , -   , 2 
"UPI, (MAGUINDANAO)", - , - , - , - , - , - , - , 1 , - , 2 , 2 , 5 
"BULUAN, (MAGUINDANAO)", - , - , - , 1 , - , - , - , 1 , - , 1 , 2 , 5 
"KABUNTALAN (TUMBAO), (MAGUINDANAO)", 1 , - , - , - , - , - , - , - , - , 1 , -   , 2 
"JOLO (CAPITAL), (SULU)", - , - , - , - , - , - , 2 , 2 , 1 , 2 , 1 , 8 
"SIASI, (SULU)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"BONGAO (CAPITAL), (TAWI-TAWI)", - , - , - , - , - , - , - , - , - , - , - , -   
"MAPUN (CAGAYAN DE TAWI-TAWI), (TAWI-TAWI)", - , - , - , - , - , - , - , - , - , - , - , -   
"SAPA-SAPA, (TAWI-TAWI)", - , - , - , - , - , - , - , - , - , 1 , -   , 1 
"SIMUNUL, (TAWI-TAWI)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"SITANGKAI, (TAWI-TAWI)", - , - , - , - , 1 , - , - , - , - , - , - , 1 
"BANGUED (CAPITAL), (ABRA)", 11 , 8 , 1 , 10 , 9 , 9 , 8 , 11 , 4 , 11 , 9 , 91 
"BOLINEY, (ABRA)", - , 1 , - , - , - , - , - , - , 1 , - , - , 2 
"BUCAY, (ABRA)", 1 , - , - , 2 , 4 , 4 , 2 , - , 1 , 2 , 1 , 17 
"BUCLOC, (ABRA)", 1 , - , - , - , - , - , - , - , - , - , - , 1 
"DAGUIOMAN, (ABRA)", - , - , 1 , - , - , - , - , - , 1 , 1 , -   , 3 
"DANGLAS, (ABRA)", 2 , - , - , - , 1 , - , - , - , 1 , 1 , -   , 5 
"DOLORES, (ABRA)", 2 , 1 , - , 2 , 1 , 2 , - , - , 6 , 2 , 1 , 17 
"LA PAZ, (ABRA)", 1 , 1 , - , 5 , 1 , 1 , 2 , 1 , 2 , 1 , 1 , 16 
"LACUB, (ABRA)", - , - , - , - , - , - , 1 , 1 , - , - , - , 2 
"LAGANGILANG, (ABRA)", 2 , 4 , - , - , 2 , 4 , 4 , - , 1 , - , 2 , 19 
"LAGAYAN, (ABRA)", - , - , - , - , - , 2 , 1 , - , 1 , - , - , 4 
"LANGIDEN, (ABRA)", 1 , 1 , - , - , - , - , 2 , 1 , 1 , - , - , 6 
"LICUAN-BAAY (LICUAN), (ABRA)", - , - , - , 1 , - , - , - , - , - , - , - , 1 
"LUBA, (ABRA)", - , - , - , 2 , - , 1 , - , - , - , - , - , 3 
"MALIBCONG, (ABRA)", - , - , - , 2 , - , - , - , - , - , - , - , 2 
"MANABO, (ABRA)", 1 , 1 , - , 2 , 1 , 1 , - , 2 , 2 , - , - , 10 
"PEÑARRUBIA, (ABRA)", - , - , - , 1 , - , 1 , - , 1 , 1 , - , 1 , 5 
"PIDIGAN, (ABRA)", 2 , 2 , - , - , 1 , 1 , 3 , 2 , 2 , 3 , 2 , 18 
"PILAR, (ABRA)", 1 , 1 , - , 2 , 2 , - , - , - , 1 , 1 , 4 , 12 
"SALLAPADAN, (ABRA)", - , 6 , - , 1 , - , 2 , - , - , - , 2 , -   , 11 
"SAN ISIDRO, (ABRA)", - , - , - , 3 , 1 , 1 , - , 2 , 1 , 1 , -   , 9 
"SAN JUAN, (ABRA)", 1 , 3 , - , - , - , - , - , - , 2 , 6 , 3 , 15 
"SAN QUINTIN, (ABRA)", - , - , - , - , 1 , 3 , 1 , 2 , 3 , 1 , 1 , 12 
"TAYUM, (ABRA)", - , 1 , - , - , 2 , 3 , 2 , 1 , 1 , 2 , 1 , 13 
"TINEG, (ABRA)", - , - , - , - , - , - , - , - , 1 , - , - , 1 
"TUBO, (ABRA)", - , - , - , - , - , - , - , - , - , - , - , -   
"VILLAVICIOSA, (ABRA)", - , - , - , - , 1 , 1 , - , 1 , 1 , 2 , -   , 6 
"ATOK, (BENGUET)", 1 , - , - , - , - , - , - , - , 1 , - , 4 , 6 
"BAGUIO CITY, (BENGUET)", 170 , 145 , 23 , 125 , 141 , 143 , 158 , 157 , 153 , 191 , 174 ," 1,580 "
"BAKUN, (BENGUET)", - , - , - , - , - , - , - , - , - , - , - , -   
"BOKOD, (BENGUET)", 1 , - , - , - , 1 , - , - , - , 1 , - , - , 3 
"BUGUIAS, (BENGUET)", - , 1 , 1 , - , - , 2 , - , 2 , 5 , 1 , 1 , 13 
"ITOGON, (BENGUET)", 6 , 1 , 3 , 3 , 6 , 9 , 9 , 7 , 7 , 6 , 2 , 59 
"KABAYAN, (BENGUET)", - , - , - , 1 , - , - , - , 1 , - , - , 1 , 3 
"KAPANGAN, (BENGUET)", - , - , - , 1 , 1 , 1 , - , 2 , - , - , - , 5 
"KIBUNGAN, (BENGUET)", - , - , - , 1 , - , - , - , - , - , - , 1 , 2 
"LA TRINIDAD (CAPITAL), (BENGUET)", 26 , 23 , 3 , 23 , 26 , 29 , 25 , 19 , 38 , 28 , 33 , 273 
"MANKAYAN, (BENGUET)", - , - , - , - , 1 , 1 , 1 , 1 , 4 , - , 3 , 11 
"SABLAN, (BENGUET)", 2 , - , - , - , - , 3 , 2 , 2 , - , 1 , 1 , 11 
"TUBA, (BENGUET)", 2 , 5 , - , 4 , 4 , 1 , 2 , 7 , 9 , 4 , 2 , 40 
"TUBLAY, (BENGUET)", 1 , - , - , - , 1 , - , 2 , - , - , 1 , 2 , 7 
"BANAUE, (IFUGAO)", - , 1 , - , 1 , - , 3 , 2 , 2 , 4 , 3 , 2 , 18 
"HUNGDUAN, (IFUGAO)", 1 , - , - , - , 1 , - , - , 1 , 1 , - , - , 4 
"KIANGAN, (IFUGAO)", 2 , - , - , - , - , 1 , 3 , 1 , 2 , 2 , -   , 11 
"LAGAWE (CAPITAL), (IFUGAO)", 1 , - , - , - , - , - , 3 , 2 , - , 2 , -   , 8 
"LAMUT, (IFUGAO)", 1 , 2 , - , 1 , 3 , 1 , 1 , 3 , 4 , 5 , 2 , 23 
"MAYOYAO, (IFUGAO)", - , 1 , - , - , - , - , - , 1 , - , - , - , 2 
"ALFONSO LISTA (POTIA), (IFUGAO)", 1 , - , - , - , - , 2 , 2 , - , - , 2 , 2 , 9 
"AGUINALDO, (IFUGAO)", - , - , - , - , - , - , - , - , - , - , 1 , 1 
"HINGYON, (IFUGAO)", - , - , - , 2 , - , - , - , - , - , 1 , -   , 3 
"ASIPULO, (IFUGAO)", - , - , - , - , - , 1 , - , - , - , 1 , -   , 2 
"TINOC, (IFUGAO)", - , - , - , - , - , - , 1 , - , - , - , - , 1 
"BALBALAN, (KALINGA)", - , - , - , - , - , 1 , 1 , 1 , - , - , - , 3 
"LUBUAGAN, (KALINGA)", 1 , - , - , - , 1 , - , - , - , 2 , 2 , -   , 6 
"PASIL, (KALINGA)", - , - , - , - , - , - , - , - , 1 , 1 , 1 , 3 
"PINUKPUK, (KALINGA)", - , - , - , - , - , 1 , 1 , - , - , - , 1 , 3 
"RIZAL (LIWAN), (KALINGA)", - , - , - , 1 , 2 , - , - , 1 , - , - , 1 , 5 
"TABUK (CAPITAL), (KALINGA)", 4 , 4 , 1 , 1 , 3 , 8 , 11 , 11 , 14 , 7 , 7 , 71 
"TANUDAN, (KALINGA)", - , - , - , - , - , - , - , - , - , - , - , -   
"TINGLAYAN, (KALINGA)", - , - , - , - , - , - , - , - , - , 1 , 2 , 3 
"BARLIG, (MOUNTAIN PROVINCE)", 1 , - , - , - , - , - , - , - , - , - , - , 1 
"BAUKO, (MOUNTAIN PROVINCE)", 1 , - , 1 , 2 , - , 1 , - , 1 , 1 , 3 , -   , 10 
"BESAO, (MOUNTAIN PROVINCE)", - , - , - , - , - , - , - , - , - , - , 1 , 1 
"BONTOC (CAPITAL), (MOUNTAIN PROVINCE)", - , - , - , 3 , 1 , 1 , 3 , 3 , 1 , - , 1 , 13 
"NATONIN, (MOUNTAIN PROVINCE)", - , - , - , - , - , - , 1 , - , 1 , - , - , 2 
"PARACELIS, (MOUNTAIN PROVINCE)", - , 1 , - , 1 , - , - , 1 , 2 , - , 1 , 1 , 7 
"SABANGAN, (MOUNTAIN PROVINCE)", - , 1 , - , - , - , - , 1 , 1 , - , - , 1 , 4 
"SAGADA, (MOUNTAIN PROVINCE)", - , 1 , - , - , 1 , - , - , 2 , 1 , 6 , 3 , 14 
"TADIAN, (MOUNTAIN PROVINCE)", 1 , - , - , 1 , - , 1 , - , - , 2 , 1 , -   , 6 
"CALANASAN (BAYAG), (APAYAO)", - , - , - , 1 , - , 1 , 1 , - , - , - , - , 3 
"CONNER, (APAYAO)", - , 1 , - , - , 1 , 3 , - , - , - , 1 , -   , 6 
"FLORA, (APAYAO)", 1 , 3 , - , 1 , 2 , 1 , 1 , 1 , 1 , 1 , -   , 12 
"KABUGAO (CAPITAL), (APAYAO)", 1 , - , - , - , - , - , - , 1 , - , 1 , 2 , 5 
"LUNA, (APAYAO)", - , 3 , - , 1 , - , - , - , 3 , - , 3 , 1 , 11 
"PUDTOL, (APAYAO)", 1 , - , - , - , - , 1 , - , 2 , 1 , - , 1 , 6 
"SANTA MARCELA, (APAYAO)", - , 1 , - , - , 1 , - , - , 2 , 1 , - , - , 5 
"TONDO, (NCR,  FIRST DISTRICT)", 200 , 192 , 28 , 156 , 175 , 142 , 142 , 143 , 139 , 147 , 148 ," 1,612 "
"BINONDO, (NCR,  FIRST DISTRICT)", 17 , 18 , 1 , 12 , 14 , 13 , 12 , 21 , 18 , 20 , 16 , 162 
"QUIAPO, (NCR,  FIRST DISTRICT)", 12 , 11 , 4 , 17 , 6 , 9 , 11 , 7 , 8 , 9 , 8 , 102 
"SAN NICOLAS, (NCR,  FIRST DISTRICT)", - , - , - , - , - , - , - , - , - , - , - , -   
"SANTA CRUZ, (NCR,  FIRST DISTRICT)", 61 , 54 , 12 , 57 , 54 , 40 , 47 , 41 , 48 , 58 , 53 , 525 
"SAMPALOC, (NCR,  FIRST DISTRICT)", 232 , 239 , 36 , 193 , 190 , 163 , 196 , 191 , 178 , 151 , 170 ," 1,939 "
"SAN MIGUEL, (NCR,  FIRST DISTRICT)", 5 , 3 , - , 5 , 7 , 11 , 9 , 5 , 3 , 3 , 5 , 56 
"ERMITA, (NCR,  FIRST DISTRICT)", 15 , 19 , 1 , 8 , 19 , 26 , 26 , 41 , 23 , 26 , 30 , 234 
"INTRAMUROS, (NCR,  FIRST DISTRICT)", 3 , 4 , 1 , - , 7 , 2 , 4 , 3 , 2 , 1 , 1 , 28 
"MALATE, (NCR,  FIRST DISTRICT)", 111 , 118 , 19 , 134 , 105 , 97 , 78 , 109 , 109 , 117 , 94 ," 1,091 "
"PACO, (NCR,  FIRST DISTRICT)", 45 , 55 , 7 , 24 , 39 , 45 , 36 , 39 , 36 , 46 , 29 , 401 
"PANDACAN, (NCR,  FIRST DISTRICT)", 36 , 41 , 4 , 29 , 31 , 30 , 24 , 36 , 28 , 38 , 24 , 321 
"PORT AREA, (NCR,  FIRST DISTRICT)", - , - , - , 1 , 1 , 4 , - , 1 , 1 , 3 , 3 , 14 
"SANTA ANA, (NCR,  FIRST DISTRICT)", 50 , 60 , 16 , 43 , 46 , 40 , 39 , 49 , 49 , 44 , 49 , 485 
"CITY OF MANDALUYONG, (NCR   SECOND DISTRICT)", 167 , 179 , 24 , 149 , 197 , 157 , 197 , 166 , 195 , 209 , 216 ," 1,856 "
"CITY OF MARIKINA, (NCR   SECOND DISTRICT)", 200 , 202 , 18 , 157 , 177 , 166 , 185 , 167 , 170 , 174 , 167 ," 1,783 "
"CITY OF PASIG, (NCR   SECOND DISTRICT)", 850 , 911 , 52 , 451 , 460 , 279 , 273 , 269 , 289 , 300 , 310 ," 4,444 "
"QUEZON CITY, (NCR   SECOND DISTRICT)"," 1,627 "," 1,826 ", 174 ," 1,343 "," 1,291 "," 1,190 "," 1,211 "," 1,279 "," 1,254 "," 1,357 "," 1,310 "," 13,862 "
"SAN JUAN, (NCR   SECOND DISTRICT)", 327 , 383 , 18 , 311 , 275 , 290 , 278 , 306 , 134 , 65 , 54 ," 2,441 "
"KALOOKAN CITY, (NCR   THIRD DISTRICT)", 504 , 545 , 62 , 525 , 551 , 549 , 503 , 507 , 658 , 663 , 566 ," 5,633 "
"MALABON, (NCR   THIRD DISTRICT)", 111 , 145 , 19 , 83 , 98 , 91 , 108 , 79 , 89 , 104 , 79 ," 1,006 "
"NAVOTAS, (NCR   THIRD DISTRICT)", 64 , 63 , 9 , 37 , 59 , 44 , 73 , 55 , 37 , 47 , 56 , 544 
"CITY OF VALENZUELA, (NCR   THIRD DISTRICT)", 157 , 194 , 25 , 131 , 176 , 158 , 136 , 178 , 175 , 180 , 178 ," 1,688 "
